Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Band Material (product.metafields.custom.band_material),Case Color (product.metafields.custom.case_color),Department (product.metafields.custom.department),Dial Color (product.metafields.custom.dial_color),Display (product.metafields.custom.display),Frame Color (product.metafields.custom.frame_color),Increased Price (product.metafields.custom.increased_price),Lug Width (product.metafields.custom.lug_width),Product Source URL (product.metafields.custom.product_source_url),Water Resistance (product.metafields.custom.water_resistance),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Band color (product.metafields.shopify.band-color),Barware material (product.metafields.shopify.barware-material),Case color (product.metafields.shopify.case-color),Clothing accessory material (product.metafields.shopify.clothing-accessory-material),Color (product.metafields.shopify.color-pattern),Connectivity technology (product.metafields.shopify.connectivity-technology),Dial color (product.metafields.shopify.dial-color),Dispenser type (product.metafields.shopify.dispenser-type),Eyewear frame design (product.metafields.shopify.eyewear-frame-design),Eyewear frame material (product.metafields.shopify.eyewear-frame-material),Eyewear lens material (product.metafields.shopify.eyewear-lens-material),Fabric (product.metafields.shopify.fabric),Hardware material (product.metafields.shopify.hardware-material),Knife type (product.metafields.shopify.knife-type),Lens polarization (product.metafields.shopify.lens-polarization),Lens type (product.metafields.shopify.lens-type),Lock type (product.metafields.shopify.lock-type),Material (product.metafields.shopify.material),Occasion (product.metafields.shopify.occasion),Optical frame design (product.metafields.shopify.optical-frame-design),Season (product.metafields.shopify.season),Target gender (product.metafields.shopify.target-gender),Wallet features (product.metafields.shopify.wallet-features),Watch accessory style (product.metafields.shopify.watch-accessory-style),Watch display (product.metafields.shopify.watch-display),Watch features (product.metafields.shopify.watch-features),Watch material (product.metafields.shopify.watch-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
museum-bangle,Museum Bangle,"Modern, minimal, and made to stack. The Jewelry-Inspired Movado Museum Bangle. This 21.5mm by 25.5mm watch features an oval silver white sunray dial, yellow gold tone dauphine hands, and our signature dot at 12 o'clock.<br><br><table style=""width:100%; border-collapse:collapse;""><tr><td style=""font-weight:bold; border:1px solid #ddd; padding:8px;"">Brand</td><td style=""border:1px solid #ddd; padding:8px;"">Movado</td></tr></table><br><br>
<div><strong>Easy Returns</strong></div>
<p>This item can be returned within 7 days.&nbsp;<a href=""https://theluxurydirect.com/pages/return-refund-policy"" rel=""noopener"" target=""_blank"">View our return policy</a><br><br></p>
<div><strong>USA Shipping</strong></div>
<p>All of our items ship from the United States.&nbsp;<a href=""https://theluxurydirect.com/pages/shipping-policy"" rel=""noopener"" target=""_blank"">Learn more</a></p>
<div><br></div>
<div><br></div>
",Movado,Apparel & Accessories > Jewelry > Watches,Watches,"Wristwatches, Watches, Jewelry & Watches, SwiftCommerce_Movado",FALSE,Title,Default Title,,,,,,,,0608072,90,shopify,deny,manual,895.00,,TRUE,TRUE,,,,,,outputs\movado\listing\20260421_164623\images\museum-bangle-0608072-html\processed\0608072_1.webp,1,Museum Bangle_1,FALSE,,,,,Unisex,,,,,,https://www.movado.com/us/en/shop-watches/museum-bangle-0608072.html,,,,adults,,,,,,,,,,,,,,,,,,,,,,unisex,,,,,,,,,,,g,,,draft
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260421_164623\images\museum-bangle-0608072-html\processed\0608072_2.webp,2,Museum Bangle_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260421_164623\images\museum-bangle-0608072-html\processed\0608072_3.webp,3,Museum Bangle_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260421_164623\images\museum-bangle-0608072-html\processed\0608072_4.webp,4,Museum Bangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260421_164623\images\museum-bangle-0608072-html\processed\0608072_5.webp,5,Museum Bangle_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260421_164623\images\museum-bangle-0608072-html\processed\0608072_6.webp,6,Museum Bangle_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260421_164623\images\museum-bangle-0608072-html\processed\0608072_7.webp,7,Museum Bangle_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260421_164623\images\museum-bangle-0608072-html\processed\0608072_8.webp,8,Museum Bangle_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260421_164623\images\museum-bangle-0608072-html\processed\0608072_9.webp,9,Museum Bangle_9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
museum-bangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,outputs\movado\listing\20260421_164623\images\museum-bangle-0608072-html\processed\0608072_10.webp,10,Museum Bangle_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
